Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
187,Antonio Gibson,NWE,RB,27,3,0,0,0,0,0,0,13,58,4.46,0,2,1,1,1.00,0,1,1,1,,,10,10.9,11.9,10.4,,52,,GibsAn00
188,Jackson Hawes,BUF,TE,25,3,0,0,0,0,0,0,0,0,,0,3,3,39,13.00,1,0,0,1,,,10,12.9,12.9,11.4,,26,,HaweJa00
189,Mack Hollins,NWE,WR,32,3,3,0,0,0,0,0,0,0,,0,8,6,38,6.33,1,0,0,1,,,10,15.8,15.8,12.8,,75,,HollMa00
190,Kyle Juszczyk,SFO,FB,34,3,3,0,0,0,0,0,0,0,,0,4,4,38,9.50,1,0,0,1,,,10,13.8,13.8,11.8,,53,,JuszKy00
191,Jalen Nailor,MIN,WR,26,3,3,0,0,0,0,0,0,0,,0,13,7,96,13.71,0,0,0,0,,,10,16.6,16.6,13.1,,77,,NailJa00
192,Dalton Schultz,HOU,TE,29,3,2,0,0,0,0,0,0,0,,0,15,11,96,8.73,0,0,0,0,,,10,20.6,20.6,15.1,,27,,SchuDa00
193,Isaac TeSlaa,DET,WR,23,3,1,0,0,0,0,0,0,0,,0,4,2,42,21.00,1,0,0,1,,,10,12.2,12.2,11.2,,73,,TeSlIs00
194,Dontayvion Wicks,GNB,WR,24,3,2,0,0,0,0,0,0,0,,0,12,8,95,11.88,0,0,0,0,,,10,17.5,17.5,13.5,,78,,WickDo00
195,Olamide Zaccheaus,CHI,WR,28,3,1,0,0,0,0,0,2,21,10.50,0,16,9,78,8.67,0,0,0,0,,,10,18.9,18.9,14.4,,74,,ZaccOl01
196,Matthew Golden,GNB,WR,22,3,2,0,0,0,0,0,5,24,4.80,0,8,6,68,11.33,0,0,0,0,,,9,15.2,15.2,12.2,,80,,GoldMa02
197,Najee Harris,LAC,RB,27,3,0,0,0,0,0,0,15,61,4.07,0,3,3,25,8.33,0,0,0,0,,,9,11.6,11.6,10.1,,55,,HarrNa00
198,George Kittle,SFO,TE,32,1,1,0,0,0,0,0,0,0,,0,4,4,25,6.25,1,0,0,1,,,9,12.5,12.5,10.5,,31,,KittGe00
199,Woody Marks,HOU,RB,25,3,0,0,0,0,0,0,12,44,3.67,0,3,2,46,23.00,0,0,0,0,,,9,11.0,11.0,10.0,,54,,MarkWo00
200,Drew Sample,CIN,TE,29,3,2,0,0,0,0,0,0,0,,0,6,3,27,9.00,1,0,0,1,,,9,11.7,11.7,10.2,,30,,SampDr00
201,Ja'Tavion Sanders,CAR,TE,22,3,3,0,0,0,0,0,0,0,,0,14,11,92,8.36,0,0,0,0,,,9,20.2,20.2,14.7,,28,,SandJa01
202,Darius Slayton,NYG,WR,28,3,2,0,0,0,0,0,0,0,,0,8,6,91,15.17,0,0,0,0,,,9,15.1,15.1,12.1,,81,,SlayDa01
203,Dont'e Thornton,LVR,WR,23,3,2,0,0,0,0,0,0,0,,0,12,5,94,18.80,0,0,0,0,,,9,14.4,14.4,11.9,,79,,ThorDo00
204,Tylan Wallace,BAL,WR,26,3,1,0,0,0,0,0,0,0,,0,3,2,25,12.50,1,0,0,1,,,9,10.5,10.5,9.5,,82,,WallTy00
205,Brock Wright,DET,TE,27,3,1,0,0,0,0,0,0,0,,0,3,3,28,9.33,1,0,0,1,,,9,11.8,11.8,10.3,,29,,WrigBr01
206,Brandin Cooks,NOR,WR,32,3,0,0,0,0,0,0,0,0,,0,11,8,76,9.50,0,0,0,0,,,8,15.6,15.6,11.6,,89,,CookBr00
207,Demario Douglas,NWE,WR,25,3,0,0,0,0,0,0,1,4,4.00,0,13,5,13,2.60,1,0,0,1,,,8,12.7,12.7,10.2,,88,,DougDe00
208,Austin Ekeler,WAS,RB,30,2,2,0,0,0,0,0,14,43,3.07,0,7,5,38,7.60,0,0,0,0,,,8,13.1,13.1,10.6,,57,,EkelAu00
209,Luke Farrell,SFO,TE,28,3,1,0,0,0,0,0,0,0,,0,4,3,19,6.33,1,0,0,1,,,8,10.9,10.9,9.4,,34,,FarrLu00
210,George Holani,SEA,RB,26,3,0,0,0,0,0,0,10,27,2.70,0,2,2,15,7.50,0,1,1,1,,,8,10.2,11.2,9.2,,56,,HolaGe00
211,Austin Hooper,NWE,TE,31,3,2,0,0,0,0,0,0,0,,0,7,6,76,12.67,0,0,0,0,,,8,13.6,13.6,10.6,,37,,HoopAu00
212,Travis Hunter,JAX,WR,22,3,1,0,0,0,0,0,0,0,,0,16,10,76,7.60,0,0,0,0,,,8,17.6,17.6,12.6,,90,,HuntTr00
213,Xavier Hutchinson,HOU,WR,25,3,1,0,0,0,0,0,1,5,5.00,0,8,7,75,10.71,0,0,0,0,,,8,15.0,15.0,11.5,,85,,HutcXa00
214,Hunter Long,JAX,TE,27,3,0,0,0,0,0,0,0,0,,0,4,3,18,6.00,1,0,0,1,,,8,10.8,10.8,9.3,,35,,LongHu00
215,Ryan Miller,TAM,WR,25,3,1,0,0,0,0,0,0,0,,0,3,1,20,20.00,1,0,0,1,,,8,9.0,9.0,8.5,,86,,MillRy01
216,Marvin Mims,DEN,WR,23,3,1,0,0,0,0,0,0,0,,0,10,6,40,6.67,1,1,1,1,,,8,14.0,15.0,11.0,,87,,MimsMa00
217,Josh Oliver,MIN,TE,28,3,1,0,0,0,0,0,0,0,,0,2,2,17,8.50,1,0,0,1,,,8,9.7,9.7,8.7,,36,,OlivJo00
218,Brian Robinson Jr.,SFO,RB,26,3,0,0,0,0,0,0,17,75,4.41,0,3,2,3,1.50,0,0,0,0,,,8,9.8,9.8,8.8,,58,,RobiBr01
219,Jeremy Ruckert,NYJ,TE,25,3,3,0,0,0,0,0,0,0,,0,3,3,21,7.00,1,0,0,1,,,8,11.1,11.1,9.6,,32,,RuckJe00
220,Ben Skowronek,PIT,WR,28,3,1,0,0,0,0,0,0,0,,0,1,1,22,22.00,1,0,0,1,,,8,9.2,9.2,8.7,,83,,SkowBe00
221,Jack Stoll,NOR,TE,27,3,2,0,0,0,0,0,0,0,,0,3,2,21,10.50,1,0,0,1,,,8,10.1,10.1,9.1,,33,,StolJa00
222,Adam Trautman,DEN,TE,28,3,2,0,0,0,0,0,0,0,,0,4,4,15,3.75,1,0,0,1,,,8,11.5,11.5,9.5,,38,,TrauAd00
223,Devaughn Vele,NOR,WR,28,2,1,0,0,0,0,0,0,0,,0,3,2,16,8.00,1,0,0,1,,,8,9.6,9.6,8.6,,91,,VeleDe00
224,Michael Wilson,ARI,WR,25,3,2,0,0,0,0,0,0,0,,0,8,3,21,7.00,1,0,0,1,,,8,11.1,11.1,9.6,,84,,WilsMi02
225,Kendrick Bourne,SFO,WR,30,2,1,0,0,0,0,0,0,0,,0,9,7,70,10.00,0,0,0,0,,,7,14.0,14.0,10.5,,96,,BourKe00
226,Jahan Dotson,PHI,WR,25,3,1,0,0,0,0,0,0,0,,0,7,5,70,14.00,0,0,0,0,,,7,12.0,12.0,9.5,,97,,DotsJa00
227,John FitzPatrick,GNB,TE,25,3,0,0,0,0,0,0,0,0,,0,3,3,14,4.67,1,0,0,1,,,7,10.4,10.4,8.9,,39,,FitzJo00
228,Jerome Ford,CLE,RB,26,3,0,0,0,0,0,0,12,39,3.25,0,11,10,30,3.00,0,0,0,0,,,7,16.9,16.9,11.9,,60,,FordJe00
229,Pat Freiermuth,PIT,TE,27,3,1,0,0,0,0,0,0,0,,0,10,7,65,9.29,0,0,0,0,,,7,13.5,13.5,10.0,,40,,FreiPa00
230,Jayden Higgins,HOU,WR,23,3,2,0,0,0,0,0,0,0,,0,5,4,65,16.25,0,0,0,0,,,7,10.5,10.5,8.5,,98,,HiggJa00
231,Jaylin Lane,WAS,WR,23,3,0,0,0,0,0,0,0,0,,0,8,3,11,3.67,0,0,0,1,,,7,10.1,10.1,8.6,,94,,LaneJa00
232,Allen Lazard,NYJ,WR,30,2,0,0,0,0,0,0,0,0,,0,3,2,13,6.50,1,0,0,1,,,7,9.3,9.3,8.3,,92,,LazaAl00
233,Ray-Ray McCloud,ATL,WR,29,3,1,0,0,0,0,0,0,0,,0,12,5,71,14.20,0,0,0,0,,,7,12.1,12.1,9.6,,95,,McClRa00
234,Kendre Miller,NOR,RB,23,3,0,0,0,0,0,0,17,59,3.47,0,3,3,11,3.67,0,0,0,0,,,7,10.0,10.0,8.5,,59,,MillKe01
235,Kyle Monangai,CHI,RB,23,3,0,0,0,0,0,0,13,44,3.38,0,5,3,23,7.67,0,0,0,0,,,7,9.7,9.7,8.2,,61,,MonaKy00
236,Mitchell Tinsley,CIN,WR,26,3,0,0,0,0,0,0,0,0,,0,2,1,13,13.00,1,0,0,1,,,7,8.3,8.3,7.8,,93,,TinsMi00
237,Elijah Higgins,ARI,TE,25,3,1,0,0,0,0,0,0,0,,0,6,4,55,13.75,0,0,0,0,,,6,9.5,9.5,7.5,,41,,HiggEl00
238,Justice Hill,BAL,RB,28,3,0,0,0,0,0,0,5,-7,-1.40,0,9,7,66,9.43,0,1,0,0,,,6,12.9,12.9,9.4,,63,,HillJu00
239,Tyler Johnson,NYJ,WR,27,3,2,0,0,0,0,0,0,0,,0,6,4,63,15.75,0,0,0,0,,,6,10.3,10.3,8.3,,100,,JohnTy00
240,Darnell Mooney,ATL,WR,28,2,2,0,0,0,0,0,0,0,,0,15,6,64,10.67,0,0,0,0,,,6,12.4,12.4,9.4,,99,,MoonDa00
241,Chris Moore,WAS,WR,32,2,0,0,0,0,0,0,0,0,,0,3,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,104,,MoorCh00
242,Raheim Sanders,CLE,RB,23,1,0,0,0,0,0,0,3,3,1.00,1,0,0,0,,0,0,0,1,,,6,6.3,6.3,6.3,,62,,SandRa00
243,Jalen Tolbert,DAL,WR,26,3,2,0,0,0,0,0,0,0,,0,12,6,40,6.67,0,0,0,0,1,,6,12.0,12.0,9.0,,103,,TolbJa00
244,Brycen Tremayne,CAR,WR,26,3,1,0,0,0,0,0,0,0,,0,7,5,63,12.60,0,0,0,0,,,6,11.3,11.3,8.8,,101,,TremBr00
245,Jordan Whittington,LAR,WR,25,3,1,0,0,0,0,0,3,12,4.00,0,5,4,49,12.25,0,0,0,0,,,6,10.1,10.1,8.1,,102,,WhitJo04
246,Tyler Conklin,LAC,TE,30,3,3,0,0,0,0,0,1,2,2.00,0,4,2,50,25.00,0,1,0,0,,,5,7.2,7.2,6.2,,42,,ConkTy00
247,Dillon Gabriel,CLE,QB,25,1,0,3,3,19,1,0,0,0,,0,0,0,0,,0,0,0,0,,,5,4.8,4.8,4.8,,38,,GabrDi00
248,Oronde Gadsden II,LAC,TE,22,1,0,0,0,0,0,0,0,0,,0,7,5,46,9.20,0,0,0,0,,,5,9.6,9.6,7.1,,46,,GadsOr01
249,Tre Harris,LAC,WR,23,3,0,0,0,0,0,0,0,0,,0,5,3,45,15.00,0,0,0,0,,,5,7.5,7.5,6.0,,107,,HarrTr03
250,Gunnar Helm,TEN,TE,23,3,1,0,0,0,0,0,0,0,,0,7,6,52,8.67,0,0,0,0,,,5,11.2,11.2,8.2,,43,,HelmGu00
251,Theo Johnson,NYG,TE,24,3,3,0,0,0,0,0,0,0,,0,10,6,49,8.17,0,0,0,0,,,5,10.9,10.9,7.9,,44,,JohnTh00
252,Ty Johnson,BUF,RB,28,3,0,0,0,0,0,0,7,43,6.14,0,5,1,8,8.00,0,0,0,0,,,5,6.1,6.1,5.6,,64,,JohnTy02
253,Tyler Lockett,TEN,WR,33,3,1,0,0,0,0,0,0,0,,0,8,6,46,7.67,0,0,0,0,,,5,10.6,10.6,7.6,,105,,LockTy00
254,Michael Mayer,LVR,TE,24,3,3,0,0,0,0,0,0,0,,0,7,6,47,7.83,0,0,0,0,,,5,10.7,10.7,7.7,,45,,MayeMi00
255,Zavier Scott,MIN,RB,26,2,0,0,0,0,0,0,8,30,3.75,0,1,1,20,20.00,0,1,0,0,,,5,6.0,6.0,5.5,,65,,ScotZa00
256,Adam Thielen,MIN,WR,35,3,2,0,0,0,0,0,0,0,,0,6,2,26,13.00,0,0,0,0,1,,5,6.6,6.6,5.6,,106,,ThieAd00
257,Elijah Arroyo,SEA,TE,22,3,1,0,0,0,0,0,0,0,,0,5,3,38,12.67,0,0,0,0,,,4,6.8,6.8,5.3,,50,,ArroEl00
258,Tyler Badie,DEN,RB,25,3,0,0,0,0,0,0,1,3,3.00,0,8,4,35,8.75,0,0,0,0,,,4,7.8,7.8,5.8,,69,,BadiTy00
259,Isaiah Bond,CLE,WR,21,3,1,0,0,0,0,0,1,9,9.00,0,8,4,27,6.75,0,0,0,0,,,4,7.6,7.6,5.6,,111,,BondIs00
260,Noah Brown,WAS,WR,29,2,2,0,0,0,0,0,0,0,,0,7,3,36,12.00,0,0,0,0,,,4,6.6,6.6,5.1,,112,,BrowNo00
